我不知道为什么那么多人支持房产税，可能这些人会觉得，反正不会收到我头上，因为我没有房。而且也没有钱买房。其实没有房的是最受伤。人不能没有房子住，哪怕你是租房，当然乞丐和野人除外。1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　2.没有房的是最受伤，因为房东有多套房子，一定会把房产税转嫁给你，而当你真的忍了十年，有了钱也打算买房子时，又要征收你的房产税。　　3.不单止大城市的人，农村人也受伤，因为房产税会逐步推向全国，你们都跑不了。　　4.你老爸老妈受伤，他们唯一的房子还要征税。　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　　　当然有一类人不受伤，这就是XX，我想你们懂得XX是一群什么人。说实话我也是这个XX里的人，税多我工资也会涨，我不担心这个房产税。就拿个人所得税来说，我交的很少，但是你们逃不掉啊。不过我不愿意看到我父母和兄弟姐妹，以后的孩子要交这个税。我刚买了房，买一套房子交的税已经很多很多了。空军你们不要怨恨买房的人，大家都是被逼的，要怨就应该怨保障房没有建设到位，老百姓工资涨得实在太慢。　　　　本人认为房价必然也还会涨，但这个涨幅应该比老百姓的工资低一些，这是政府应该压制的。楼主发言：1次发图：0张|更多举报|分享|楼主|点赞
　　(转）　　　　　　表面上，中国当前的尖锐问题出现在房价上，其实只是把更尖锐的重大社会问题转移到房价上，有关房价，媒体一次一次放出烟雾误导老百姓，记得曾把房价高赖到炒房者手中，但我翻看经济学的书，知道炒房者无法也无能力炒高房价，（他们是市场经济的产物，中国在搞市场经济时，修改了法律，把投机倒把罪从中删除，炒房者付出时间与资金成本，为获利冒险，他们有可能因计算不周而赔本）。近期又把到问题转移到空置率上，其实受过点教育的人都懂得这是胡说八道，经济学诺奖得主施蒂格勒（Stigler）的贡献之一即是证明越是价值高的商品，买卖双方搜寻的时间就越长，不仅住房，任何资源都会空置，空置只是人类为了对付未来的不确定性而为自己保留的权利。我们的媒体为了配合既得利益者，一次次转移老百姓的视线，我不相信从业人员中没有学过政治经济学的，特别是经济版的编辑，他们应具有经济学的一般常识及判断力，但他们却四处刊登谎话转移视线，东一下西一下，就是不对大众讲实话，受过教育的人不利用他们学得的知识服务社会，而是蒙骗消费者，让他们抱幻想，这在本质上在利用信息不对称欺负那些缺乏信息的人，在道德上完全说不过去。　　　　　　　　　　　　房价高的原因，在市场经济中，只有两条，一条儿是超发货帀，另一条儿是供应不足。（在中国，这两条儿都符合，而且都是体制性问题，只有依靠体制改革才能解决，干别的都是偷梁换柱，高房价即使短时期被压低，早晚还会卷土重来）。原因是近十几年，中国为了稳定汇率，使央行高价收购外汇，使得人民帀以每年一万多亿的水平超发。供应不足更是问题巨大，中国值钱的土地就集中在那么几个大城市里，配套设施完备且管理质量高，在那里极少供应新的土地。供应不足还表现在供应土地被政府垄断，建房权被开发商把持，其余人没有与之博弈谈判的机会，为了提高生活质量，只能被动接受高溢价的房地产。　　　　　　　　　　　　高房价现象的本质是我们的体制分配社会剩余物质失当，它涉及到中国社会对于人类正义的理解。　　　　　　　　　　　　中国的房价高给人的直观感受是，有钱人太多了。另一个更直观的感受是：为什么有钱人不是我？　　　　　　　　　　　　那些有钱人都是谁？他们为何能得到那么多货帀？他们为社会做了些什么？其实若是能回答清楚这三个基本问题，我们也就了解了房价高的原因。　　　　　　　　　　　　但这三个问题在中国无人回答，一道铁幕隔绝了人们的视线与声音，那铁幕其实就是暴力，因只有暴力持有人才有权使人不看到真相，不回答质疑，此外，暴力持有人还能让提问者闭嘴。　　　　　　　　　　　　在这种情况下，中国的高房价无法改变，当它改变时，那么中国的配套制度会在房价改变前改变。　　　　　　　　　　　　在中国，房价只是露出海面的冰山一角，人们可以看到的财富与资源向少数人聚集，事实上，运作财富的是权力，财富也只是权力冰山的另一个小角罢了。　　　　　　在市场机制下，可以说，社会不得不用一些不平等换得一些效率，但这是有底线的，现在中国用不平等换得的效率越来越接近边际，原因是它的负外部性越来越大，有一天，我们回头一看，我们用不平等换来多半只是更大的不平等，在效率问题上，我们搞了一个骗局，真相是多数人根本就没有得到效率。　　　　　　三十年了，中国人为地划分出农民与城市人的权利差异，问题渐渐演化，现在，就连城市人与城市人之间的权利差异也越发明显了，中国的人权问题越来越严重，不解决人权问题，我们目前的高增长也是一个骗局。　　　　　　目前，有一种不思进取的观点认为，社会发展有其内在规律，这个规律竟被解释成中国的前进只能去再走一遍发达国家曾走过的弯路，即中国在现阶段是资本积累初期阶段，必须用牺牲一部分人，来满足另一部分人来达成国家的发展，这是政治上的欺诈及意识形态上的懒惰，更是道德上的腐败及虚无，制度设计者完全有责任让中国绕过弯路，走向更好的未来，中国靠拿来西方现代科技基本解决了第一需求，然而在解决第二需求时，却很有可能使中国再次失去一百年，我为此感到深深的忧虑，因中国历史上，因成年人考虑不周，图省事儿，相信并采用暴力，随随便便已失去了不知多少个一百年，却依然无法从中获得教训，而发达国家的一个小学生都懂得，“靠暴力不能长远，只有讲道理才有望达成妥协，以便产生合作，使双方得益”这么一个浅显的道理。　　　　　　-----------------　　海岛，我想你应该懂的，你真认为房产税是为了无产者？文化人应该有自己的底线，希望珍惜自己的心灵。举报|598楼|打赏|回复|评论|赞
"　　保护富人的利益与保护穷人的利益同等重要,难道不是吗?来自天涯社区客户端|举报|599楼|打赏|回复|评论|赞"
　　看你们这些人，着什么急呢？心态都放平和一点！举报|601楼|打赏|回复|评论|赞
　　一套免税！二套正税！三套加税！楼主你傻啊！来自天涯社区客户端|举报|602楼|打赏|回复|评论|赞
唉，因为白痴多来自天涯社区客户端|举报|603楼|打赏|回复|评论|赞
　　反对声再大，zf还是能如期把政策实行的，没有这个睡，哪来那么多钱，供ld们和太子们公费消遣啊？在我们嘲笑朝鲜专制时，我们的出境又何不是，不要五十步笑百步了，都醒醒吧！来自天涯社区客户端|举报|604楼|打赏|回复|评论|赞
　　苛政猛于虎也，折腾吧来自天涯社区客户端|举报|605楼|打赏|回复|评论|赞
　　靠，还是那么多S，B，啥免征面积？免税范围？到时候给你出个修正案，统统的交税来自天涯社区客户端|举报|608楼|打赏|回复|评论|赞
　　鸡国以搜刮替代印钞了来自天涯社区客户端|举报|610楼|打赏|回复|评论|赞
　　如果征收的房产税全部用于建设保障住房就好了，房价也回归理性了。富人也负担了更多责任，穷人也解决了住房问题。但谁来保证钱用在哪呢？谁来监督！！！！举报|611楼|打赏|回复|评论|赞
"　　看看吧,ip查询,追踪你的好友地址,夫妻用品专卖:　　http://www.seseba.co.cc/来自天涯社区客户端|举报|612楼|打赏|回复|评论|赞"
　　其实ZF要是决心让房价回归理性，让国家经济回归健康，根本不用征收房产税，把每年出让土地的钱，用来建设保障房就成了，取之于民用之于民，最简单了，为什么总是弄复杂了，什么加息，什么不让贷款，什么限购，根本都是隔靴搔痒。ZF只从敛财上做文章，！！！！！举报|615楼|打赏|回复|评论|赞
　　楼主房产税是临时税种随时会取消来自天涯社区客户端|举报|619楼|打赏|回复|评论|赞
　　可以租小产权房嘛，产权房就空着吧来自天涯社区客户端|举报|620楼|打赏|回复|评论|赞
"　　来自农村的人路过,原以为我以后不买房就不用管房价问题!考公务员,考上,运气好,当有权后,就尽量贪!唯一出路就是当zf官员!来自天涯社区客户端|举报|622楼|打赏|回复|评论|赞"
　　竟然还有人哭着喊着要加税！！！神马他X的都是浮云。　　　　如果政府要真降房价，还用加税这种贱招。举报|623楼|打赏|回复|评论|赞
　　Tm你想造反不成？说收你丫的就收，JJWW个P来自天涯社区客户端|举报|624楼|打赏|回复|评论|赞
　　妈的我实在忍不住你们这群猪有脑子吧从除拆那之外的绝大部分国家的情况来看税是绝对要征的另外也意味着商品房最终商品房会私有笨猪们多动脑子少人云亦云来自天涯社区客户端|举报|625楼|打赏|回复|评论|赞
　　没有哪个团体和正档能违背社会和人类发展规律妄图镗壁挡车者下场只会狠悲惨来自天涯社区客户端|举报|626楼|打赏|回复|评论|赞
　　如果我拒绝交税，会怎么样？来自天涯社区客户端|举报|627楼|打赏|回复|评论|赞
　　我赞成控制房价，但反对征税。来自天涯社区客户端|举报|628楼|打赏|回复|评论|赞
　　目前百姓负担的各种名目的税，费和这样那样的基金已经不少了。来自天涯社区客户端|举报|629楼|打赏|回复|评论|赞
　　高高的楼市犹如堰塞湖，你越堵越危险。现在zf出的政策大多是堵。只有多建设公租房，才能疏导。如今的税收已经太多了，再加上地产税，我们的税收比GDP还跑得快。这些税怎么用？应该给纳税人有个交代，不能再去搞什么形象工程，去买美国国债，去增加ZF的无效开支（如公车、会务等）。真正应该取之于民，用之于民。举报|630楼|打赏|回复|评论|赞
　　对论坛中的某些人，实在没什么道理可以同他们讲。因为他们不是为了辨别是非而来。来自天涯社区客户端|举报|631楼|打赏|回复|评论|赞
　　巨额遗产税也不远了十年内来自天涯社区客户端|举报|632楼|打赏|回复|评论|赞
　　房产税无外乎两个结果，一种是象征意义，无法施行，第二施行了也落实不到位，或者更差，推行一段时间后就被叫停。。。　　　　有征收房产税的精力去多给老百姓盖点经济适用房啊，SBZHF!!举报|633楼|打赏|回复|评论|赞
　　马克来自天涯社区客户端|举报|634楼|打赏|回复|评论|赞
　　有什么好争的，我们同不同意有区别么？该收还是得收，不该收怎么举双手双脚都不会收，我们只是一群被的人！来自天涯社区客户端|举报|635楼|打赏|回复|评论|赞
　　征税不过是给地方和中央政府又多了腐败的钱，加重了人民生活的负担而已　　打压房价的途径有千万条，为啥非要征税？？？举报|636楼|打赏|回复|评论|赞
　　作者：股价　回复日期：2010-12-08　11:01:52　　　　　　　其实收拾这些炒房的投机分子很简单：　　　　1、禁止购买第二套房；　　　　2、已有第二套及以上的，收房产税，税率每年递增5%，每多一套房，税率递增50%；　　　　3、出租时需经租赁所登记，租金通过第三方监管，建立房屋年审制度，未登记私自出租的收取房价20%的罚款，并取消出租资格3年；　　　　4、出售房屋时，收所得税，税率每年递增10%，签阴阳合同的，以金融诈骗罪收监。　　　　　　　　可保5年以后，房价减半，10年以后80%的人买的起房。　　————————————————————————————————————　　怎么说你呢？　　当80%的人都买得起房时，你认为还会有房地产公司开发房产么？　　考虑问题一定要有深度，所有人都坐在一个天平上。　　还是那句话：我是坐时间机器回来告诉大家一声的，如果有钱，就去买房，如果没钱，就去睡觉。举报|637楼|打赏|回复|评论|赞
　　估计，将来，　　　　“房产税”，将成为普通老百姓生活当中，　　　　一个最大税种，一个最大的税负，“第一大税”。举报|638楼|打赏|回复|评论|赞
　　be/来自天涯社区客户端|举报|639楼|打赏|回复|评论|赞
　　赶紧挣钱吧。来自天涯社区客户端|举报|640楼|打赏|回复|评论|赞
　　郎咸平：　　　　03年以前房价合理，是因为当时的国策是90%的经适房与廉租屋，10%的商品房，03年以后这二者数字开始对调，这就是房价居高不下的原因，这项国策一天不改，一天别指望房价下降。　　　　房产税如果是用之于民，用来补助那些买不起房租房的人，我举双手赞同，但如果只是增加政府财政收入，肥了官员的口袋，我是坚决反对，因为房产税的开征势必转嫁到最底阶层，必然导致房租大涨。举报|641楼|打赏|回复|评论|赞
　　人家都明着说了:房产税不是用来打压房价的。你的还不明白？来自天涯社区客户端|举报|642楼|打赏|回复|评论|赞
　　回复第18楼(作者:海岛论剑于2010-12-0810:11:41)　　　　这个帖子是明显的房托拉底层群众做“同盟军”，可恰恰房托以前榨取的就是这些“同盟军”的血汗。用心良……　　==========　　绝对的拿钱发贴来自天涯社区客户端|举报|643楼|打赏|回复|评论|赞
